Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,28.170000,28.170000,28.170000,28.170000,27.709385,0
2019-12-23,28.120001,28.120001,28.120001,28.120001,27.660202,0
2019-12-24,28.200001,28.200001,28.200001,28.200001,27.738894,0
2019-12-26,28.270000,28.270000,28.270000,28.270000,27.807753,0
2019-12-27,28.309999,28.309999,28.309999,28.309999,27.847094,0
2019-12-30,28.219999,28.219999,28.219999,28.219999,27.758566,0
2019-12-31,27.980000,27.980000,27.980000,27.980000,27.522490,0
2020-01-02,28.260000,28.260000,28.260000,28.260000,27.797913,0
2020-01-03,28.670000,28.670000,28.670000,28.670000,28.201208,0
2020-01-06,28.530001,28.530001,28.530001,28.530001,28.063496,0
2020-01-07,28.389999,28.389999,28.389999,28.389999,27.925789,0
2020-01-08,28.209999,28.209999,28.209999,28.209999,27.748732,0
2020-01-09,28.299999,28.299999,28.299999,28.299999,27.837255,0
2020-01-10,28.530001,28.530001,28.530001,28.530001,28.063496,0
2020-01-13,28.450001,28.450001,28.450001,28.450001,27.984810,0
2020-01-14,28.590000,28.590000,28.590000,28.590000,28.122519,0
2020-01-15,28.780001,28.780001,28.780001,28.780001,28.309412,0
2020-01-16,28.680000,28.680000,28.680000,28.680000,28.211048,0
2020-01-17,28.459999,28.459999,28.459999,28.459999,27.994640,0
2020-01-21,28.750000,28.750000,28.750000,28.750000,28.279903,0
2020-01-22,28.850000,28.850000,28.850000,28.850000,28.378267,0
2020-01-23,29.049999,29.049999,29.049999,29.049999,28.574993,0
2020-01-24,29.270000,29.270000,29.270000,29.270000,28.791395,0
2020-01-27,29.719999,29.719999,29.719999,29.719999,29.234037,0
2020-01-28,29.490000,29.490000,29.490000,29.490000,29.007799,0
2020-01-29,29.780001,29.780001,29.780001,29.780001,29.293058,0
2020-01-30,29.780001,29.780001,29.780001,29.780001,29.293058,0
2020-01-31,29.980000,29.980000,29.980000,29.980000,29.544352,0
2020-02-03,29.969999,29.969999,29.969999,29.969999,29.534500,0
2020-02-04,29.570000,29.570000,29.570000,29.570000,29.140314,0
2020-02-05,29.270000,29.270000,29.270000,29.270000,28.844671,0
2020-02-06,29.410000,29.410000,29.410000,29.410000,28.982635,0
2020-02-07,29.730000,29.730000,29.730000,29.730000,29.297985,0
2020-02-10,29.830000,29.830000,29.830000,29.830000,29.396534,0
2020-02-11,29.680000,29.680000,29.680000,29.680000,29.248716,0
2020-02-12,29.540001,29.540001,29.540001,29.540001,29.110748,0
2020-02-13,29.639999,29.639999,29.639999,29.639999,29.209291,0
2020-02-14,29.760000,29.760000,29.760000,29.760000,29.327551,0
2020-02-18,29.959999,29.959999,29.959999,29.959999,29.524645,0
2020-02-19,29.959999,29.959999,29.959999,29.959999,29.524645,0
2020-02-20,30.190001,30.190001,30.190001,30.190001,29.751303,0
2020-02-21,30.459999,30.459999,30.459999,30.459999,30.017378,0
2020-02-24,30.930000,30.930000,30.930000,30.930000,30.480545,0
2020-02-25,31.120001,31.120001,31.120001,31.120001,30.667788,0
2020-02-26,30.940001,30.940001,30.940001,30.940001,30.490400,0
2020-02-27,31.250000,31.250000,31.250000,31.250000,30.795898,0
2020-02-28,31.900000,31.900000,31.900000,31.900000,31.484814,0
2020-03-02,31.660000,31.660000,31.660000,31.660000,31.247938,0
2020-03-03,32.160000,32.160000,32.160000,32.160000,31.741434,0
2020-03-04,31.830000,31.830000,31.830000,31.830000,31.415726,0
2020-03-05,32.570000,32.570000,32.570000,32.570000,32.146095,0
2020-03-06,34.169998,34.169998,34.169998,34.169998,33.725269,0
2020-03-09,35.080002,35.080002,35.080002,35.080002,34.623432,0
2020-03-10,33.369999,33.369999,33.369999,33.369999,32.935677,0
2020-03-11,33.020000,33.020000,33.020000,33.020000,32.590244,0
2020-03-12,32.480000,32.480000,32.480000,32.480000,32.057266,0
2020-03-13,31.790001,31.790001,31.790001,31.790001,31.376245,0
2020-03-16,33.430000,33.430000,33.430000,33.430000,32.994900,0
2020-03-17,31.469999,31.469999,31.469999,31.469999,31.060413,0
2020-03-18,30.139999,30.139999,30.139999,30.139999,29.747721,0
2020-03-19,30.120001,30.120001,30.120001,30.120001,29.727983,0
2020-03-20,32.130001,32.130001,32.130001,32.130001,31.711817,0
2020-03-23,33.450001,33.450001,33.450001,33.450001,33.014641,0
2020-03-24,33.240002,33.240002,33.240002,33.240002,32.807373,0
2020-03-25,33.040001,33.040001,33.040001,33.040001,32.609978,0
2020-03-26,33.270000,33.270000,33.270000,33.270000,32.836983,0
